"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.450467917×10^0,-2.973563148×10^-2,-3.106305833×10^0,5.023648484×10^-1,3.146806410×10^0
1.460416917×10^0,-5.340799268×10^-2,-3.110835087×10^0,4.890321004×10^-1,3.149491982×10^0
1.470366917×10^0,-6.432774100×10^-2,-3.103808488×10^0,4.427407173×10^-1,3.135886562×10^0
1.480315917×10^0,-5.995385924×10^-2,-3.080015582×10^0,3.876829693×10^-1,3.104897508×10^0
1.490265917×10^0,-5.988148168×10^-2,-3.052754109×10^0,3.937222660×10^-1,3.078621553×10^0
1.500214917×10^0,-3.619963702×10^-2,-2.999584792×10^0,3.265903831×10^-1,3.017528893×10^0
1.510163917×10^0,-2.364497066×10^-2,-2.940757125×10^0,2.769312961×10^-1,2.953862301×10^0
1.520113917×10^0,-1.720441793×10^-2,-2.870402842×10^0,2.567140364×10^-1,2.881910922×10^0
1.530062917×10^0,-2.382464463×10^-2,-2.791308725×10^0,2.647841442×10^-1,2.803940558×10^0
1.540012917×10^0,-1.865600749×10^-2,-2.705689116×10^0,2.557268802×10^-1,2.717811228×10^0
1.549961917×10^0,-5.897903703×10^-3,-2.613242297×10^0,2.368321145×10^-1,2.623958753×10^0
1.559911917×10^0,1.651235428×10^-3,-2.511691949×10^0,2.336490364×10^-1,2.522536629×10^0
1.569860917×10^0,1.766142352×10^-3,-2.383204063×10^0,2.324549619×10^-1,2.394514571×10^0
1.579810917×10^0,5.375756482×10^-3,-2.246490898×10^0,1.993643260×10^-1,2.255326227×10^0
1.589759917×10^0,7.650072123×10^-3,-2.113356814×10^0,1.628320920×10^-1,2.119634364×10^0
1.599709917×10^0,-4.116193140×10^-3,-1.983329941×10^0,1.602441144×10^-1,1.989797169×10^0
1.609658917×10^0,-9.373420165×10^-3,-1.831836185×10^0,1.560973421×10^-1,1.838498858×10^0
1.619608917×10^0,-3.708226965×10^-2,-1.694916029×10^0,1.875389171×10^-1,1.705663005×10^0
1.629557917×10^0,-3.657897513×10^-2,-1.527316117×10^0,2.173258030×10^-1,1.543134164×10^0
1.639507917×10^0,-5.526838027×10^-2,-1.372132183×10^0,2.200202731×10^-1,1.390758873×10^0
1.649456917×10^0,-6.986045868×10^-2,-1.184143031×10^0,2.082415688×10^-1,1.204342041×10^0
1.659406917×10^0,-5.871342726×10^-2,-1.003737717×10^0,2.215534130×10^-1,1.029573982×10^0
1.669355917×10^0,-6.045607111×10^-2,-8.362956798×10^-1,1.895480204×10^-1,8.596358837×10^-1
1.679305917×10^0,-4.048804893×10^-2,-6.589502138×10^-1,1.332920317×10^-1,6.735142404×10^-1
1.689254917×10^0,-5.101066167×10^-2,-4.603278995×10^-1,1.238172034×10^-1,4.794106408×10^-1
1.699203917×10^0,-7.660683906×10^-2,-2.535867262×10^-1,1.286902729×10^-1,2.945097992×10^-1
1.709153917×10^0,-8.870239849×10^-2,-5.177358627×10^-2,1.108492485×10^-1,1.511164307×10^-1
1.719102917×10^0,-9.682054480×10^-2,1.420937723×10^-1,5.744779743×10^-2,1.812873615×10^-1
1.729052917×10^0,-1.119228247×10^-1,3.308465713×10^-1,1.385205388×10^-2,3.495397715×10^-1
1.739001917×10^0,-1.270855320×10^-1,5.122137523×10^-1,-2.534059010×10^-2,5.283519717×10^-1
1.748951917×10^0,-1.191890591×10^-1,7.093561363×10^-1,-1.179956424×10^-1,7.289136654×10^-1
1.758900917×10^0,-1.152858965×10^-1,9.051887441×10^-1,-1.832282766×10^-1,9.307148337×10^-1
1.768850917×10^0,-1.169801181×10^-1,1.091952320×10^0,-1.944514954×10^-1,1.115282745×10^0
1.778799917×10^0,-1.717444912×10^-1,1.261842586×10^0,-2.669722454×10^-1,1.301159891×10^0
1.788749917×10^0,-2.182476714×10^-1,1.428125120×10^0,-3.193000746×10^-1,1.479569513×10^0
1.798698917×10^0,-2.349966552×10^-1,1.602189129×10^0,-3.447716058×10^-1,1.655627039×10^0
1.808648917×10^0,-2.257015192×10^-1,1.777851182×10^0,-4.069018900×10^-1,1.837733699×10^0
1.818597917×10^0,-2.123693924×10^-1,1.930241316×10^0,-4.531533293×10^-1,1.994061242×10^0
1.828547917×10^0,-1.770178758×10^-1,2.087081181×10^0,-5.045374910×10^-1,2.154483991×10^0
1.838496917×10^0,-1.687531288×10^-1,2.245334904×10^0,-5.901641536×10^-1,2.327724248×10^0
1.848446917×10^0,-1.597379648×10^-1,2.366972192×10^0,-5.893853045×10^-1,2.444473074×10^0
